Column Name,Data Type,Length(max),Format,Additional Information
company,String,82 characters,Text,Name of the company
company type,String,34 characters,Text,Type of the company(e.g. Public/Private/Non-Profit/University/Subsidary)
hq,String,36 characters,Text,Headquarters location of the company
industry,String,40 characters,Text,Industry or business sector that the company operates in
size,String,23 characters,Text,Size of the company
revenue,String,32 characters,Text,Revenue generated by the company
ovr_rating,Decimal,1 digit,Numeric,Overall rating of the company on a scale of 1 to 5
rating_CV,Decimal,1 digit,Numeric,Rating for the company's culture and values on a scale of 1 to 5
rating_DI,Decimal,1 digit,Numeric,Rating for the company's diversity and inclusion efforts on a scale of 1 to 5
rating_WLB,Decimal,1 digit,Numeric,Rating for the company's work-life balance on a scale of 1 to 5
rating_SM,Decimal,1 digit,Numeric,Rating for the company's senior management on a scale of 1 to 5
rating_CB,Decimal,1 digit,Numeric,Rating for the company's compensation and benefits on a scale of 1 to 5
rating_CO,Decimal,1 digit,Numeric,Rating for the company's career opportunities on a scale of 1 to 5
link,String,93 characters,Text,Link to the company's website